bath,balcony,price,total_sqft_int,bhk,price_per_sqft
3.0,2.0,85.0,1200.0,3.0,7083.333333333333
2.0,2.0,74.0,1200.0,3.0,6166.666666666667
2.0,0.0,100.0,1115.0,3.0,8968.609865470851
2.0,1.5843757375501535,56.0,1051.0,3.0,5328.25880114177
2.0,2.0,65.0,1170.0,2.0,5555.555555555556
2.0,2.0,120.0,2274.24,2.0,5276.4879696074295
2.0,1.5843757375501535,80.0,1900.0,2.0,4210.526315789473
3.0,3.0,200.0,2400.0,2.0,8333.333333333334
3.0,3.0,48.9,1150.0,3.0,4252.173913043478
1.0,1.0,105.0,1070.0,1.0,9813.084112149532
2.0,3.0,75.0,1056.0,3.0,7102.272727272727
2.0,1.0,88.0,1089.0,3.0,8080.80808080808
3.0,2.0,400.0,1404.0,3.0,28490.02849002849
3.0,1.0,528.0,2400.0,3.0,22000.0
3.0,0.0,408.0,1415.0,2.0,28833.9222614841
2.0,1.0,38.0,1000.0,2.0,3800.0
2.0,2.0,72.0,1787.0,2.0,4029.099048684947
2.0,2.0,93.0,1577.0,2.0,5897.273303741281
2.0,1.0,100.0,1210.0,2.0,8264.462809917355
3.0,1.0,150.0,1600.0,3.0,9375.0
2.0,1.0,94.0,1000.0,2.0,9400.0
2.0,1.0,82.0,1208.0,2.0,6788.079470198675
2.0,1.0,95.0,1630.0,3.0,5828.2208588957055
2.0,0.0,46.0,1275.0,2.0,3607.843137254902
2.0,1.0,50.49,1025.0,2.0,4925.8536585365855
2.0,1.0,100.0,3670.0,2.0,2724.7956403269754
3.0,2.0,120.0,1500.0,3.0,8000.0
2.0,1.0,41.39,1297.0,2.0,3191.2104857363147
2.0,2.0,72.0,1280.0,1.0,5625.0
2.0,1.0,57.0,1490.0,2.0,3825.503355704698
3.0,1.0,115.0,2000.0,3.0,5750.0
2.0,1.0,42.99,1550.0,2.0,2773.548387096774
3.0,2.0,65.0,1340.0,2.0,4850.746268656716
2.0,2.0,58.17,900.0,2.0,6463.333333333333
2.0,2.0,110.0,1357.0,3.0,8106.116433308769
2.0,2.0,120.0,2043.0,3.0,5873.715124816446
3.0,2.0,150.0,1397.0,2.0,10737.29420186113
3.0,2.0,120.0,1320.0,3.0,9090.90909090909
3.0,1.0,42.0,1255.0,2.0,3346.613545816733
2.0,2.0,82.5,2400.0,2.0,3437.5
4.0,3.0,160.0,2000.0,3.0,8000.0
2.0,1.0,75.0,1600.0,2.0,4687.5
3.0,2.0,100.0,1530.0,2.0,6535.9477124183
2.0,1.0,50.0,1418.0,2.0,3526.093088857546
2.0,1.0,87.0,4400.0,2.0,1977.2727272727273
3.0,1.0,70.0,1559.0,2.0,4490.057729313663
3.0,2.0,110.0,1600.0,2.0,6875.0
3.0,2.0,117.0,1525.84,2.0,7667.90751323861
2.0,1.0,59.0,1710.0,2.0,3450.2923976608186
3.0,2.0,155.0,1602.0,3.0,9675.405742821473
2.0,1.0,61.0,1469.0,1.0,4152.484683458135
2.0,2.0,100.0,1570.0,2.0,6369.426751592357
3.0,3.0,110.0,1320.0,2.0,8333.333333333334
2.0,1.0,70.65,1200.0,2.0,5887.500000000001
2.0,2.0,42.0,1806.0,2.0,2325.5813953488373
2.0,2.0,75.0,2750.0,2.0,2727.2727272727275
3.0,2.0,200.0,3500.0,3.0,5714.285714285715
3.0,1.0,65.0,1320.0,2.0,4924.242424242424
2.0,1.0,41.59,1050.0,2.0,3960.952380952381
2.0,2.0,65.0,1200.0,2.0,5416.666666666667
3.0,3.0,120.0,1480.0,2.0,8108.108108108108
3.0,2.0,117.0,1216.0,2.0,9621.71052631579
2.0,1.0,77.0,1000.0,2.0,7700.0
2.0,1.0,75.0,1060.0,2.0,7075.471698113208
2.0,1.0,95.0,1220.0,2.0,7786.88524590164
3.0,2.0,130.0,1194.0,2.0,10887.772194304858
2.0,0.0,68.0,1216.0,2.0,5592.105263157895
2.0,2.0,57.0,1625.0,2.0,3507.6923076923076
2.0,2.0,60.0,2400.0,2.0,2500.0
3.0,2.0,125.0,1310.0,2.0,9541.984732824427
2.0,1.0,86.0,1279.0,2.0,6724.003127443315
2.0,2.0,54.79,1023.0,2.0,5355.816226783969
2.0,1.0,77.47,1223.0,2.0,6334.423548650859
2.0,1.0,42.79,950.0,2.0,4504.210526315789
3.0,3.0,130.0,1640.0,3.0,7926.829268292683
3.0,2.0,77.0,998.0,2.0,7715.4308617234465
2.0,1.0,77.44,1100.0,2.0,7040.0
3.0,2.0,112.0,1621.0,3.0,6909.315237507712
2.0,1.0,76.0,2630.0,2.0,2889.7338403041826
3.0,2.0,150.0,1500.0,3.0,10000.0
3.0,1.0,145.0,4550.0,2.0,3186.813186813187
3.0,2.0,118.0,1080.0,2.0,10925.925925925925
2.0,2.0,88.0,1518.0,2.0,5797.101449275362
2.0,1.0,102.0,1101.0,2.0,9264.305177111717
2.0,1.0,57.0,3200.0,2.0,1781.25
1.0,2.0,47.0,1220.0,2.0,3852.4590163934427
2.0,1.0,42.0,1400.0,2.0,3000.0
2.0,2.0,50.0,2475.0,2.0,2020.20202020202
1.0,1.0,60.0,1216.0,2.0,4934.210526315789
2.0,1.0,51.0,1200.0,2.0,4250.0
2.0,3.0,92.0,1000.0,2.0,9200.0
2.0,1.0,102.0,1762.0,2.0,5788.876276958003
2.0,1.0,60.0,1200.0,2.0,5000.0
3.0,2.0,190.0,1571.0,2.0,12094.207511139402
2.0,1.0,57.0,1650.0,1.0,3454.5454545454545
2.0,2.0,110.0,1205.0,1.0,9128.630705394191
1.0,0.0,29.9,1050.0,2.0,2847.6190476190477
3.0,2.0,43.5,3761.0,2.0,1156.6072852964637
3.0,2.0,73.31,1050.0,2.0,6981.9047619047615
2.0,2.0,55.0,1530.0,2.0,3594.7712418300653
3.0,1.0,80.0,1053.0,3.0,7597.340930674264
4.0,2.0,130.0,1700.0,3.0,7647.058823529412
2.0,2.0,35.0,2200.0,2.0,1590.909090909091
1.0,1.0,31.0,1500.0,2.0,2066.6666666666665
2.0,2.0,35.0,1030.0,2.0,3398.0582524271845
3.0,2.0,130.0,1539.0,2.0,8447.043534762834
4.0,3.0,92.0,1400.0,3.0,6571.428571428572
2.0,1.0,40.9,1200.0,2.0,3408.3333333333335
3.0,0.0,72.02,1220.0,2.0,5903.2786885245905
1.0,1.0,30.0,1352.0,2.0,2218.9349112426034
2.0,2.0,36.94,1425.0,2.0,2592.280701754386
2.0,2.0,65.0,2500.0,2.0,2600.0
2.0,2.0,83.0,1153.0,3.0,7198.6123156981785
4.0,2.0,115.0,1360.0,3.0,8455.882352941177
2.0,1.0,43.55,410.0,1.0,10621.951219512195
2.0,3.0,62.0,1221.0,2.0,5077.805077805077
2.0,1.0,59.0,1270.0,2.0,4645.669291338582
2.0,0.0,44.0,1530.0,2.0,2875.8169934640523
1.0,1.0,33.0,1090.0,2.0,3027.5229357798166
2.0,1.0,59.0,1290.0,2.0,4573.643410852713
2.0,2.0,51.83,1235.0,3.0,4196.761133603239
2.0,1.0,48.0,1300.0,2.0,3692.3076923076924
3.0,2.0,80.0,1310.0,3.0,6106.8702290076335
3.0,2.0,300.0,1700.0,2.0,17647.058823529413
2.0,1.0,135.0,1550.0,2.0,8709.677419354839
3.0,1.0,300.0,2020.0,2.0,14851.485148514852
2.0,1.0,85.0,1314.0,2.0,6468.797564687976
1.0,0.0,150.0,982.0,2.0,15274.949083503056
2.0,2.0,85.0,1370.0,2.0,6204.379562043796
2.0,1.0,45.0,1620.0,2.0,2777.777777777778
2.0,1.0,42.0,1450.0,1.0,2896.551724137931
3.0,2.0,188.0,1725.0,2.0,10898.550724637682
2.0,1.0,50.0,1559.0,2.0,3207.184092366902
2.0,1.0,43.0,1400.0,2.0,3071.4285714285716
2.0,2.0,39.0,1350.0,2.0,2888.8888888888887
1.0,0.0,20.0,1482.0,2.0,1349.527665317139
2.0,1.5843757375501535,93.0,1267.0,3.0,7340.17363851618
2.0,1.0,60.0,1186.0,2.0,5059.02192242833
2.0,0.0,80.0,1070.0,2.0,7476.6355140186915
2.0,1.0,32.0,1047.0,2.0,3056.351480420248
2.0,2.0,88.0,1418.0,1.0,6205.923836389281
3.0,2.0,79.0,1255.0,2.0,6294.820717131474
3.0,2.0,65.0,1210.0,2.0,5371.900826446281
2.0,2.0,45.0,2095.0,2.0,2147.9713603818614
2.0,2.0,35.0,1290.0,2.0,2713.1782945736436
2.0,2.0,69.0,1457.0,2.0,4735.758407687028
3.0,1.0,110.0,1645.0,2.0,6686.930091185411
2.0,0.0,85.0,1325.0,2.0,6415.094339622641
2.0,2.0,65.0,1500.0,3.0,4333.333333333333
2.0,2.0,55.0,1195.0,2.0,4602.510460251046
3.0,3.0,65.0,1215.0,2.0,5349.794238683127
2.0,2.0,64.0,1519.0,3.0,4213.298222514813
2.0,2.0,68.0,1452.0,4.0,4683.195592286502
2.0,1.0,55.0,1055.0,2.0,5213.270142180095
3.0,1.0,90.0,1473.0,3.0,6109.979633401222
2.0,2.0,85.0,1381.0,3.0,6154.960173787111
2.0,1.0,59.6,1340.0,3.0,4447.761194029851
2.0,2.0,75.0,1776.0,2.0,4222.972972972973
2.0,1.0,48.38,2000.0,2.0,2419.0
2.0,1.0,46.0,1700.0,2.0,2705.8823529411766
2.0,2.0,80.0,1535.0,3.0,5211.726384364821
2.0,3.0,50.0,2100.0,4.0,2380.9523809523807
2.0,1.0,38.45,1847.0,2.0,2081.7541959935033
2.0,2.0,50.0,1888.0,3.0,2648.3050847457625
2.0,2.0,41.0,1620.0,2.0,2530.864197530864
2.0,1.0,40.39,1380.0,2.0,2926.8115942028985
2.0,2.0,30.0,1080.0,2.0,2777.777777777778
2.0,1.0,39.59,1000.0,2.0,3959.0000000000005
1.0,0.0,19.82,1180.0,2.0,1679.6610169491526
2.0,1.0,45.0,1376.0,3.0,3270.3488372093025
2.0,1.0,41.82,1212.0,3.0,3450.4950495049507
2.0,1.0,40.39,1510.0,2.0,2674.8344370860927
2.0,1.0,46.33,1076.0,1.0,4305.762081784386
1.0,1.0,32.6,1900.0,1.0,1715.7894736842106
2.0,1.0,41.0,1246.0,3.0,3290.5296950240772
2.0,1.0,40.8,985.0,2.0,4142.131979695431
1.0,0.0,65.0,1485.0,3.0,4377.104377104377
2.0,1.0,54.0,1020.0,2.0,5294.117647058823
2.0,1.5843757375501535,58.0,1100.0,2.0,5272.727272727273
2.0,2.0,75.0,820.0,2.0,9146.341463414634
3.0,1.0,120.0,1184.0,3.0,10135.135135135135
2.0,2.0,80.0,1263.0,3.0,6334.125098970705
3.0,2.0,85.0,1900.0,2.0,4473.684210526316
3.0,1.5843757375501535,95.0,2475.0,2.0,3838.3838383838383
3.0,1.5843757375501535,90.0,1530.0,3.0,5882.35294117647
2.0,3.0,73.0,1145.0,2.0,6375.545851528384
2.0,1.0,60.0,780.0,2.0,7692.307692307692
2.0,1.0,50.0,1150.0,2.0,4347.826086956522
2.0,1.0,60.0,1900.0,5.0,3157.8947368421054
3.0,2.0,85.0,1402.0,4.0,6062.767475035664
2.0,2.0,68.8,1275.0,2.0,5396.078431372549
3.0,2.0,85.0,1548.3,2.0,5489.892139766195
4.0,3.0,102.0,1710.0,3.0,5964.912280701755
3.0,1.5843757375501535,90.0,1200.0,3.0,7500.0
4.0,2.0,100.0,1542.14,3.0,6484.495571089525
3.0,2.0,125.0,1460.0,3.0,8561.643835616438
2.0,3.0,87.0,1200.0,3.0,7250.0
2.0,1.0,54.0,1674.0,2.0,3225.8064516129034
3.0,2.0,85.0,826.0,2.0,10290.556900726393
3.0,2.0,102.0,1203.0,3.0,8478.802992518704
2.0,2.0,66.0,1569.0,2.0,4206.500956022945
2.0,2.0,73.0,1410.0,2.0,5177.304964539007
2.0,1.0,49.0,600.0,1.0,8166.666666666667
2.0,2.0,49.0,1500.0,3.0,3266.6666666666665
2.0,1.0,55.0,1698.0,2.0,3239.104829210836
2.0,2.0,52.0,1150.0,3.0,4521.739130434783
3.0,2.0,108.0,2721.0,4.0,3969.1289966923923
2.0,1.0,76.0,1197.0,2.0,6349.206349206349
3.0,2.0,67.23,1762.0,2.0,3815.550510783201
2.0,1.0,50.0,2172.0,3.0,2302.025782688766
1.0,1.0,40.0,1715.0,3.0,2332.3615160349855
2.0,2.0,44.0,1370.0,2.0,3211.6788321167883
2.0,1.0,75.0,800.0,2.0,9375.0
2.0,1.0,76.0,800.0,2.0,9500.0
2.0,1.5843757375501535,43.79,1160.0,2.0,3775.0
2.0,2.0,46.41,1161.0,2.0,3997.4160206718348
2.0,1.0,10.0,1120.0,3.0,892.8571428571429
2.0,1.0,55.0,1105.0,3.0,4977.37556561086
2.0,1.0,175.0,1625.0,3.0,10769.23076923077
2.0,2.0,66.25,1030.0,2.0,6432.038834951456
2.0,1.0,79.0,1260.0,3.0,6269.841269841269
3.0,1.0,120.0,1200.0,2.0,10000.0
2.0,1.0,77.0,1190.0,3.0,6470.588235294118
2.0,2.0,80.0,1247.0,3.0,6415.396952686448
2.0,2.0,112.0,1172.0,3.0,9556.31399317406
2.0,2.0,76.0,1092.0,1.0,6959.706959706959
2.0,2.0,112.0,1050.0,3.0,10666.666666666666
2.0,2.0,80.0,1040.0,1.0,7692.307692307692
3.0,2.0,165.0,1355.0,3.0,12177.121771217711
1.0,1.0,142.0,1151.0,2.0,12337.098175499566
3.0,2.0,130.0,1070.0,3.0,12149.532710280373
2.0,1.0,145.0,1200.0,2.0,12083.333333333334
4.0,2.0,130.0,1082.0,3.0,12014.787430683919
2.0,2.0,90.0,1260.0,2.0,7142.857142857143
3.0,1.0,120.0,1314.0,2.0,9132.4200913242
3.0,2.0,125.0,850.0,2.0,14705.882352941177
3.0,2.0,297.0,2559.0,5.0,11606.09613130129
3.0,2.0,100.0,1410.0,2.0,7092.198581560284
4.0,3.0,180.0,1565.0,4.0,11501.597444089457
2.0,2.0,83.0,1300.0,3.0,6384.615384615385
2.0,1.0,45.0,915.0,2.0,4918.0327868852455
2.0,1.0,55.0,1027.0,2.0,5355.404089581305
2.0,3.0,63.0,2162.0,2.0,2913.968547641073
3.0,2.0,65.0,1255.0,2.0,5179.282868525896
3.0,2.0,77.0,1200.0,3.0,6416.666666666667
2.0,1.0,85.0,1290.0,2.0,6589.147286821705
2.0,2.0,79.0,1650.0,2.0,4787.878787878788
2.0,1.0,75.0,1200.0,3.0,6250.0
1.0,1.0,55.0,970.0,2.0,5670.103092783505
2.0,1.0,67.5,1762.0,2.0,3830.8740068104426
2.0,2.0,55.0,910.0,2.0,6043.956043956044
2.0,2.0,75.0,1392.0,2.0,5387.931034482759
3.0,3.0,125.0,1300.0,3.0,9615.384615384615
2.0,1.0,55.0,1200.0,2.0,4583.333333333333
2.0,0.0,64.0,2145.0,2.0,2983.682983682984
3.0,0.0,45.0,1358.0,2.0,3313.696612665685
2.0,1.0,57.0,1153.0,3.0,4943.625325238509
2.0,1.0,43.16,1523.0,2.0,2833.8804990151016
2.0,0.0,58.0,1180.0,2.0,4915.254237288135
3.0,1.0,45.0,1450.0,2.0,3103.448275862069
2.0,1.0,74.0,1780.0,2.0,4157.303370786517
2.0,1.0,50.0,996.0,1.0,5020.080321285141
2.0,1.0,50.0,1115.0,3.0,4484.304932735426
3.0,2.0,77.0,1205.0,3.0,6390.041493775933
2.0,2.0,14.0,1260.0,2.0,1111.111111111111
2.0,1.0,26.0,1224.0,3.0,2124.1830065359477
2.0,2.0,36.0,2416.0,2.0,1490.0662251655629
2.0,1.0,35.0,1540.0,4.0,2272.7272727272725
2.0,1.0,29.7,1115.0,3.0,2663.677130044843
2.0,1.0,25.99,1275.0,2.0,2038.4313725490197
2.0,1.0,25.26,850.0,2.0,2971.764705882353
2.0,1.0,36.0,1420.0,3.0,2535.211267605634
3.0,1.0,37.75,1455.0,3.0,2594.501718213058
2.0,3.0,25.0,1144.0,2.0,2185.3146853146854
2.0,2.0,25.0,1073.0,2.0,2329.9161230195714
2.0,1.0,25.99,1040.0,2.0,2499.0384615384614
2.0,2.0,26.85,1156.0,3.0,2322.6643598615915
4.0,3.0,235.0,1080.0,3.0,21759.25925925926
2.0,1.0,22.0,1595.0,2.0,1379.3103448275863
2.0,1.0,40.0,1100.0,3.0,3636.3636363636365
3.0,2.0,68.0,2168.0,2.0,3136.531365313653
1.0,1.0,36.0,1480.0,2.0,2432.4324324324325
2.0,2.0,38.3,1187.0,3.0,3226.621735467565
2.0,1.0,36.1,1200.0,2.0,3008.3333333333335
2.0,1.0,36.0,1260.0,3.0,2857.1428571428573
2.0,2.0,28.0,2600.0,2.0,1076.923076923077
2.0,1.0,45.0,1763.0,3.0,2552.4673851389675
3.0,2.0,45.0,1820.0,4.0,2472.5274725274726
1.0,1.0,36.0,1050.0,3.0,3428.5714285714284
1.0,1.0,11.5,1076.0,2.0,1068.7732342007434
1.0,1.0,36.0,1095.0,2.0,3287.671232876712
1.0,1.0,36.0,1250.0,2.0,2880.0
2.0,1.0,36.1,930.0,2.0,3881.7204301075267
1.0,1.0,28.0,1630.0,2.0,1717.7914110429447
2.0,2.0,52.0,3000.0,2.0,1733.3333333333333
1.0,1.0,25.0,1325.0,2.0,1886.7924528301887
3.0,1.0,139.0,2118.0,2.0,6562.795089707271
4.0,2.0,86.0,3000.0,3.0,2866.6666666666665
3.0,1.0,121.0,1478.0,3.0,8186.738836265224
2.0,0.0,55.0,1100.0,2.0,5000.0
2.0,1.0,37.72,1075.0,3.0,3508.8372093023254
3.0,1.0,87.54,1342.0,3.0,6523.099850968703
2.0,1.0,55.0,1250.0,3.0,4400.0
2.0,1.0,50.0,1220.0,3.0,4098.360655737705
3.0,2.0,75.0,1484.0,2.0,5053.908355795148
3.0,1.0,100.0,1300.0,2.0,7692.307692307692
3.0,3.0,40.0,1685.0,2.0,2373.887240356083
1.0,0.0,28.0,1068.0,2.0,2621.7228464419477
3.0,2.0,100.0,1000.0,2.0,10000.0
3.0,2.0,95.0,1130.0,2.0,8407.079646017699
2.0,1.0,48.0,1225.0,2.0,3918.3673469387754
3.0,2.0,105.0,1200.0,3.0,8750.0
2.0,2.0,67.0,1210.0,2.0,5537.190082644628
2.0,2.0,55.0,1200.0,2.0,4583.333333333333
3.0,1.0,86.03,1405.0,3.0,6123.131672597865
3.0,2.0,140.0,1249.0,2.0,11208.96717373899
2.0,1.5843757375501535,95.0,1170.0,2.0,8119.65811965812
3.0,2.0,108.0,1055.0,2.0,10236.966824644549
2.0,2.0,125.0,3400.0,3.0,3676.470588235294
2.0,3.0,50.0,1050.0,2.0,4761.9047619047615
3.0,2.0,150.0,1680.0,3.0,8928.57142857143
2.0,2.0,60.0,1435.0,2.0,4181.184668989547
2.0,1.0,44.5,1200.0,3.0,3708.3333333333335
1.0,0.0,170.0,1864.0,1.0,9120.171673819743
2.0,1.0,58.0,1245.0,3.0,4658.634538152611
2.0,2.0,53.0,1420.0,2.0,3732.394366197183
2.0,1.5843757375501535,53.0,1200.0,2.0,4416.666666666667
2.0,1.0,45.0,1070.0,2.0,4205.607476635514
2.0,2.0,57.0,1200.0,2.0,4750.0
3.0,3.0,84.0,3500.0,3.0,2400.0
2.0,2.0,63.0,1430.0,4.0,4405.5944055944055
2.0,1.5843757375501535,90.0,3800.0,2.0,2368.4210526315787
3.0,1.5843757375501535,95.0,2805.0,2.0,3386.8092691622105
2.0,3.0,65.0,3200.0,2.0,2031.25
2.0,2.0,42.0,921.0,2.0,4560.260586319218
2.0,2.0,55.0,1310.0,2.0,4198.473282442748
1.0,1.0,62.0,1614.0,3.0,3841.3878562577447
2.0,2.0,55.0,1785.0,3.0,3081.2324929971987
1.0,1.0,11.0,884.0,2.0,1244.343891402715
1.0,1.0,10.25,1100.0,2.0,931.8181818181819
3.0,1.0,85.0,1200.0,2.0,7083.333333333333
2.0,2.0,42.0,1230.0,3.0,3414.6341463414633
1.0,1.0,25.0,2605.0,6.0,959.6928982725528
3.0,3.0,120.0,1500.0,2.0,8000.0
1.0,1.0,12.5,3000.0,2.0,416.6666666666667
1.0,1.0,25.0,3000.0,2.0,833.3333333333334
2.0,1.0,29.38,1176.0,3.0,2498.299319727891
2.0,1.0,25.0,1084.0,2.0,2306.2730627306273
1.0,1.0,13.0,957.0,2.0,1358.4117032392894
2.0,1.0,11.5,1020.0,2.0,1127.450980392157
1.0,1.0,11.5,1430.0,2.0,804.1958041958042
3.0,1.0,90.0,2430.0,6.0,3703.703703703704
3.0,1.5843757375501535,105.0,2300.0,3.0,4565.217391304348
3.0,1.0,65.0,2400.0,3.0,2708.3333333333335
1.0,1.0,10.25,1360.0,2.0,753.6764705882352
2.0,1.0,25.0,1200.0,2.0,2083.3333333333335
1.0,0.0,65.0,1820.0,4.0,3571.4285714285716
3.0,2.0,160.0,3761.0,2.0,4254.18771603297
2.0,0.0,23.0,1489.0,3.0,1544.6608462055071
2.0,0.0,65.0,2900.0,2.0,2241.3793103448274
1.0,1.0,13.0,2700.0,3.0,481.48148148148147
3.0,3.0,120.0,1200.0,3.0,10000.0
2.0,1.0,46.29,750.0,2.0,6172.0
3.0,2.0,108.0,1245.0,2.0,8674.698795180722
2.0,1.0,50.0,1270.0,3.0,3937.0078740157483
2.0,1.0,48.0,1160.0,3.0,4137.931034482759
2.0,2.0,60.0,2000.0,4.0,3000.0
3.0,2.0,77.27,1917.0,2.0,4030.7772561293687
2.0,3.0,72.0,1315.0,2.0,5475.2851711026615
2.0,0.0,203.0,2592.0,1.0,7831.79012345679
2.0,1.0,55.0,1639.0,2.0,3355.7046979865772
3.0,2.0,85.0,1560.0,2.0,5448.717948717948
2.0,3.0,45.0,5000.0,2.0,900.0
3.0,1.0,150.0,1205.47,3.0,12443.279384804267
2.0,2.0,85.0,4827.0,8.0,1760.9281126993992
3.0,2.0,85.0,1125.0,3.0,7555.555555555556
3.0,2.0,85.0,1408.0,2.0,6036.931818181818
2.0,1.0,65.0,1850.0,2.0,3513.5135135135133
2.0,2.0,33.0,1140.0,2.0,2894.7368421052633
2.0,2.0,90.0,1750.0,2.0,5142.857142857143
1.0,0.0,40.0,1200.0,3.0,3333.3333333333335
3.0,2.0,200.0,2051.0,2.0,9751.340809361287
3.0,1.5843757375501535,170.0,1936.0,2.0,8780.99173553719
2.0,2.0,80.0,950.0,2.0,8421.052631578947
2.0,2.0,70.0,1476.0,2.0,4742.547425474255
2.0,0.0,35.0,1400.0,1.0,2500.0
2.0,2.0,80.0,1250.0,1.0,6400.0
2.0,2.0,70.0,1115.0,2.0,6278.026905829596
2.0,2.0,58.0,2400.0,2.0,2416.6666666666665
2.0,1.0,175.0,1200.0,2.0,14583.333333333334
3.0,3.0,220.0,1350.0,3.0,16296.296296296296
2.0,2.0,56.0,1520.0,1.0,3684.2105263157896
2.0,2.0,47.0,800.0,2.0,5875.0
